# Canales disponibles en las fuentes EPG
# Formato: channel_id | display_name
# Fecha: Sun Nov  2 00:17:36 UTC 2025

/esaguila-roja | Águila Roja
/esmytime-movie-network | MyTime Movie Network
/esruntime-accion | Runtime Acción
/esruntime-clasicos | Runtime Clásicos
/esruntime-comedia | Runtime Comedia
/esruntime-romance | Runtime Romance
/esruntime-series | Runtime Series
/esruntime-thriller | Runtime Thriller
1+1 International | 1+1 International
1-1-travel | 1+1 Travel
13.TV.es | 13 TV
24 Horas | 24 Horas
24 horas Canarias | 24 horas Canarias
24 horas Cataluña | 24 horas Cataluña
3/24.es | 3/24
324.es | 324
3CatInfo Catalunya | 3CatInfo Catalunya
3CatInfo | 3CatInfo
4K.Travel.TV.es | 4K Travel TV
5-minutes-craft-es | Ideas en 5 minutos
643054b1fc3be59477853717-656fb665cb7e8e6a9bc3f36c | NitroCircusTV
643054b1fc3be59477853717-656fb850cb7e8e6a9bc3f36e | Popular Science
643054b1fc3be59477853717-656fbbd6dbcce28c3a41741b | Surf Cinema
643054b1fc3be59477853717-656fbd05cb7e8e6a9bc3f372 | Archivos Forenses
643054b1fc3be59477853717-6578e7b5eef129f30fb38df7 | Operation Repo
643054b1fc3be59477853717-6582a1316b91be4547aa153c | Hot Ones
643054b1fc3be59477853717-65a1d3996475bf522f9256e3 | VR+
643054b1fc3be59477853717-65b1568052aa31b8f64da064 | C4 en Alerta
643054b1fc3be59477853717-65b16e7b115f5ad5450cfdac | Milenio Television
643054b1fc3be59477853717-65b80306e5cf85050598aba4 | Made It Myself TV
643054b1fc3be59477853717-65cd316a40ab06259e8168a0 | Tastemade en Español
643054b1fc3be59477853717-65e0c8c6d899afe817b9d224 | Cricket Gold
643054b1fc3be59477853717-65e9d0ad8fe4ef7053c3c872 | FilmRise Sci-Fi
643054b1fc3be59477853717-6615885e1eabecf2c9d56495 | Monster Jam
643054b1fc3be59477853717-664292a80e0ec7b4ce5eb28c | Startalk TV
643054b1fc3be59477853717-6662984e346b86608532dbdf | FIFA+
643054b1fc3be59477853717-666e1624d91d13cb4c8cbb67 | Buen Viaje
643054b1fc3be59477853717-666e1820ce73ed6023b55a11 | Ice Pilots NWT
643054b1fc3be59477853717-666e192cd91d13cb4c8cbb6b | Ice Pilots NWT (en español)
643054b1fc3be59477853717-666e1af3d91d13cb4c8cbb6d | La Fiebre del Jade
643054b1fc3be59477853717-666e1d14d91d13cb4c8cbb73 | Mi Casa
643054b1fc3be59477853717-666e2178d91d13cb4c8cbb75 | Naturaleza
643054b1fc3be59477853717-666e23e4d91d13cb4c8cbb79 | Todo Crimen
643054b1fc3be59477853717-6674b68af04cf4bb9233c916 | Death Valley Days
643054b1fc3be59477853717-6683fcdf702b9db9f8177252 | Runtime Thriller
643054b1fc3be59477853717-6684011fcd6f1d394094114d | Runtime Series
643054b1fc3be59477853717-66840253cd6f1d394094114f | Runtime
643054b1fc3be59477853717-668402fa702b9db9f8177254 | Runtime Romance
643054b1fc3be59477853717-66840486cd6f1d3940941151 | Runtime Familia
643054b1fc3be59477853717-66840707cd6f1d3940941153 | Curro Jimenez
643054b1fc3be59477853717-66840a26cd6f1d3940941155 | Runtime Crimen
643054b1fc3be59477853717-66841966702b9db9f8177256 | Runtime Comedia
643054b1fc3be59477853717-66841b30702b9db9f8177258 | Runtime Clásicos
643054b1fc3be59477853717-66841fb8702b9db9f817725a | Runtime Ana y los 7
643054b1fc3be59477853717-668420c2cd6f1d3940941157 | Runtime Acción
643054b1fc3be59477853717-66842aa2cd6f1d3940941159 | Sangre Fría
643054b1fc3be59477853717-66be8cd4871131188099527e | TRACE UK
643054b1fc3be59477853717-66be944f8711311880995280 | Action Hollywood Movies
643054b1fc3be59477853717-66bfb17c144c201b8b61c10d | RCM
643054b1fc3be59477853717-66bfb2e6144c201b8b61c10f | NewsWorld
643054b1fc3be59477853717-66ccae1a78822c7edc4b6df1 | UFC
643054b1fc3be59477853717-66ce3e009ac0b1441b19ca29 | Z Nation
643054b1fc3be59477853717-66e3b5c1797aba6bb732c5c9 | Xataka
643054b1fc3be59477853717-66e4cbef38de9754b6b13e90 | Dr. Phil
643054b1fc3be59477853717-66ea0e029502c5778b828d45 | Drool
643054b1fc3be59477853717-66ea174c9502c5778b828d47 | Cine Western
643054b1fc3be59477853717-66ea196ac24d95b51b7cd18b | wedo amor
643054b1fc3be59477853717-66f6b6baac1a1890ef197a4b | Hunter
643054b1fc3be59477853717-66f6b947515e742745f5ca34 | 21 Jump Street
643054b1fc3be59477853717-66fbfc8ebde73c589ab2af40 | PLL Network
643054b1fc3be59477853717-66fd331e216b603e031725f6 | Beyblade
643054b1fc3be59477853717-66fd3e25216b603e031725fe | ZenLIFE by Stingray
643054b1fc3be59477853717-671ff7a5769d5ec4bf51d63a | Historia Y Vida
643054b1fc3be59477853717-67200026769d5ec4bf51d63e | Crimen Y Historia
643054b1fc3be59477853717-672948f0297d4ea7584a2e13 | The Martha Stewart Channel
643054b1fc3be59477853717-67294a601055ef3897c73477 | The Emeril Lagasse Channel
643054b1fc3be59477853717-674f6a6cf44561420465f9f3 | Animation+
643054b1fc3be59477853717-6761f91555e174e95ccc4e4c | Tennis+
643054b1fc3be59477853717-67642f277c5e3b38af72dcdb | Cirque du Soleil
643054b1fc3be59477853717-678287e75fe5e4eb1e030c65 | Zee BollyWorld
643054b1fc3be59477853717-67828ebf37cd7764c53489b3 | DFB Play TV
643054b1fc3be59477853717-67884bd6d37f2fd48d6220db | Creator Television
643054b1fc3be59477853717-678fe7959407a53556d3e8eb | FRANCE 24
