# Canales disponibles en las fuentes EPG
# Formato: channel_id | display_name
# Fecha: Wed Jan 21 00:19:11 UTC 2026

4seven.uk | 4seven
5.USA.uk | 5 USA
5ACTION.uk | 5ACTION
5SELECT.uk | 5SELECT
5STAR+1.uk | 5STAR+1
5STAR.uk | 5STAR
5USA+1.uk | 5USA+1
Box.Hits.uk | Box Hits
Brit.Asia.TV.uk | Brit Asia TV
British.Muslim.uk | British Muslim
Browse.Shop.uk | Browse Shop
CBBC.HD.uk | CBBC HD
CBS.Justice.uk | CBS Justice
CBeebies.HD.uk | CBeebies HD
CHSTV.uk | CHSTV
CITV.uk | CITV
CN+1.uk | CN+1
CNBC.HD.uk | CNBC HD
CNBC.uk | CNBC
CNN.HD.uk | CNN HD
CNN.uk | CNN
COLORS.HD.uk | COLORS HD
Capital.XTRA.uk | Capital XTRA
Capital.uk | Capital
Cartoon.Net.HD.uk | Cartoon Net HD
Cartoon.Netwrk.uk | Cartoon Netwrk
Cartoonito.uk | Cartoonito
Challenge.uk | Challenge
Channel.4+1.uk | Channel 4+1
Channel.4.HD.uk | Channel 4 HD
Channel.44.uk | Channel 44
Channel.5+1.uk | Channel 5+1
Channel.5.HD.uk | Channel 5 HD
Channel.5.uk | Channel 5
Channel.7.uk | Channel 7
Channels.24.uk | Channels 24
Classic.FM.uk | Classic FM
Classic.Rock.uk | Classic Rock
Clubland.TV.uk | Clubland TV
ColorsCineplex.uk | ColorsCineplex
ColorsGujarati.uk | ColorsGujarati
ColorsRishtey.uk | ColorsRishtey
ComedyCent+1.uk | ComedyCent+1
ComedyCentHD.uk | ComedyCentHD
ComedyCentral.uk | ComedyCentral
ComedyXtra.uk | ComedyXtra
Court.TV.uk | Court TV
Craft.Extra.uk | Craft Extra
Create.and.CraftHD.uk | Create and CraftHD
Crime+Inv+1.uk | Crime+Inv+1
Crime+Inv.HD.uk | Crime+Inv HD
Cruise1st.tv.uk | Cruise1st.tv
DAYSTAR.HD.uk | DAYSTAR HD
DMAX+1.uk | DMAX+1
DMAX.uk | DMAX
Deen.TV.uk | Deen TV
Direct.Store.TV.uk | Direct Store TV
Disc.History+1.uk | Disc.History+1
Disc.History.uk | Disc.History
Disc.Sci+1.uk | Disc.Sci+1
Disc.Science.uk | Disc.Science
Disc.Turbo+1.uk | Disc.Turbo+1
Disc.Turbo.uk | Disc.Turbo
Discovery+1.uk | Discovery+1
Discovery.HD.uk | Discovery HD
Dunamis.TV.uk | Dunamis TV
Dunya.News.uk | Dunya News
E4+1.uk | E4+1
E4.Extra.uk | E4 Extra
E4.HD.uk | E4 HD
EWTN.Catholic.uk | EWTN Catholic
EarthxTV.HD.uk | EarthxTV HD
EasterEpicsHD.uk | EasterEpicsHD
Eman.Channel.uk | Eman Channel
Euronews.uk | Euronews
FRANCE.24.HD.uk | FRANCE 24 HD
Faith.UK.uk | Faith UK
Faith.World.TV.uk | Faith World TV
Film4+1.uk | Film4+1
Film4.HD.uk | Film4 HD
Food.Network.uk | Food Network
Food.Netwrk+1.uk | Food Netwrk+1
Foodxp.uk | Foodxp
Forces.TV.uk | Forces TV
G!.romance+1.uk | G! romance+1
GB.News.HD.uk | GB News HD
GB1000001G0 | SMTOWN
GB1100001EB | The Diary Of A CEO
GB1200002ON | History Hunters
GB12000037Y | Deal Masters
GB1200004J4 | Cash in the Attic
GB12000052F | Icon Film Channel
GB1200006IV | Talk
GB1300001RX | DW
GB1400001E4 | CURIOSITY Now
GB1600007CB | Rally.TV FAST+
GB170000351 | POP Up
GB1700004YC | K-Food by CJ ENM
GB1700005U8 | BABY SHARK TV
GB17000066A | K-Content by CJ ENM
GB1700007PK | NEW K-MOVIES
GB17000088V | NEW KPOP
GB1800002FA | 8 Out Of 10 Cats
GB2000007ID | LADbible
GB2000008XP | Ghost Hunters
GB200000940 | The Hotel Inspector
GB2000010ML | Tennis+
GB200005LI | Mythbusters
GB2100002R7 | Genie K-Drama
GB21000038X | Genie K-Movie
GB2100004H5 | NatureTime
GB2100005YU | Rookie Blue
GB2100006GK | River Monsters
GB2200001N2 | Fireplace Vibes
GB2200002CC | GFN Soccer TV
GB2300002AI | Tipping Point
GB2300005ML | Al Jazeera
GB2400006I0 | Tiny House Nation
GB2400007FA | Teletubbies
GB2400008GK | Dennis and Gnasher
GB2500002K0 | Cool Summer Channel
GB26000118T | DFB Play TV
GB2600012R3 | Drama Movies - Rakuten TV
GB2600013BO | Sci-Fi - Rakuten TV
GB2600014LQ | Romance Movies - Rakuten TV
GB2600015OS | Action Movies - Rakuten TV
GB2600017PX | Family - Rakuten TV
GB2600018PD | Top Movies - Rakuten TV
GB2600019ON | Euronews LIVE
GB2600020OP | Comedy Movies - Rakuten TV
GB2600021LP | Reality - Rakuten TV
GB2700001R6 | Get.Factual
GB2700002F7 | Intervention
GB2700003KS | Evolution Earth
GB2700004BC | Duck Dynasty
GB27000069E | Dog The Bounty Hunter
GB2700007YH | Ice Road Truckers
GB27000089Z | I Survived
GB2700009R7 | Modern Marvels
GB2700010NQ | Flipping Nation
GB2700011DR | Ax Men
GB2700012HS | Sky Sports Classics
GB2700013Y7 | Sky Sports Stories
GB270001473 | PICK Monkey Rescue
GB270001538 | Emergency 24/7
GB2700016H5 | Artist of the Year
GB28000063B | Mayday: Air Disaster
GB280000829 | Poldark
GB29000059T | Location Location Location
GB300001QO | Conan O'Brien TV
GB300003UI | Sony One Comedy HITS
GB3000041I | Sony One Action HITS
GB300005ZR | Sony One Comedy TV
GB3000061H | Sony One Thriller TV
GB300007J7 | Sony One FAVES
GB300008I8 | Sony One Dragons Den
GB300032DX | Now 70's
GB300033HI | Now 90's &amp; 00's
GB30003577 | talkSPORT
GB300036IM | PGA Tour
GB3000370X | GREAT! Christmas
GB3000387J | Antiques Road Trip
GB310000151 | INTER 24/7
GB3100002NB | Wheels &amp; Steel
GB32000024G | British Screen Classics
GB3200005SO | Autentic History
GB3200006AZ | Autentic Travel
GB330000144 | RugbyPass TV
GB3300002NF | Sky News
GB3400001ND | Video Game Heroes
GB340000289 | YAAAS!
GB3400003A9 | Ketchup TV
GB3500002R8 | Bundesliga
GB3500003E5 | Keeping Up With...
GB3600001XM | Medical Detectives
GB3600002EB | The Osbournes
GB3600003B3 | Dhar Mann TV
GB3700002J0 | Strawberry Shortcake
GB370000369 | Sonic The Hedgehog
GB37000041H | Nashville
GB3700005QK | Hoarders
GB37000067A | Lifetime Movies
GB3700007OZ | &amp;TV
GB3700008XB | Cops &amp; Docs
GB3700009AO | Untold Stories of the ER
GB3700011PO | Evidence of Evil
GB37000128Y | Bloodline Detectives
GB38000026H | Masha &amp; the Bear
GB3800007C5 | Space Live
GB3800009F0 | FIFA+ Women
GB3900001TM | K-POP by CJ ENM
GB3900002DT | Ninja Warrior
GB3900003W4 | Inside Outside
GB4000008O5 | Mr Bean Live Action
GB4000027F | The Graham Norton Show
GB400003BM | INTRAVEL
GB4100001E2 | Mark Rober TV
GB4100003VP | Thrillers - Rakuten TV
GB4200002K6 | Pokémon
GB4200010V1 | Who Wants to be a Millionaire
GB430000144 | LooLoo Kids
GB4300003ZT | Most Haunted
GB4400001OO | Series K: Heart
GB4500001NQ | Letterman TV
GB4600001W9 | Hot Ones
GB4900001NW | Deadly Women: powered by Banijay
GB500001HY | Highway Thru Hell : Powered by Banijay
GB500004YN | H2O &amp; Friends
GB500006EX | Escape to the Country
GB500007VM | Family Feud
GB5100001EW | Heartland
GB5200001TM | DP World Tour
GB60000197 | Sky Arts
GB60000381 | A New Life In The Sun
GB700004ET | Pocoyo
GB700006X7 | Terra Mater WILD
GB900003KR | Mr Bean Animated
GB900005KI | Demand Drama
GBAI5000001A | Pluto TV Motor
GBAJ40003481 | The Pet Collective
GBAJ40003642 | FailArmy
GBAJ400042T1 | Sparkle Movies
GBAJ400045P5 | Popflix
GBAJ49000197P | GoUSA TV
GBAJ700001FH | Pluto TV Animals
GBAJ700002OS | Pluto TV Food
GBAK3504500A | 5 Cops
GBAK3504501A | 5 Exploring Britain
GBAK3504503A | Pluto TV Action
GBAK3504504A | Pluto TV Movies
GBAK3504516A | Pluto TV Crime
GBAK3504518A | Pluto TV Inside
GBAK3504522A | Pluto TV Romance
GBAK3504525A | Pluto TV Classic TV
GBBA1500006H6 | MotorRacing
GBBA2200005ZA | History Hit
GBBA220000751 | INWILD
GBBA3300033C2 | Bloomberg TV+
GBBA33000356L | Pluto TV Conspiracy
GBBA33000362J | Pluto TV Paranormal
GBBA3300038UZ | Homicide Hunter
GBBA330003941 | Catfish
GBBA3300050RG | wedo movies
GBBA33000529G | Tennis Channel
GBBA33000557H | Moviesphere by Lionsgate
GBBA3300059BU | MyTime Movie Network
GBBA3300061ME | Real Crime
GBBB1000005IO | Real Wild
GBBB1500004LG | NBC News NOW
GBBB1600006RS | Are We There Yet?
GBBB1600008R3 | GB News
GBBB3800005QO | XITE Hits
GBBB38000068U | Deal or No Deal US
GBBB3800007BN | Survivor
GBBB4600001IK | Project Runway
GBBB5000002PL | Wild Planet
GBBC19000017V | Vevo Pop
GBBC2100002HP | Vevo '90s &amp; '00s
GBBC2300001X5 | American Idol
GBBC2300002GG | America's Got Talent
GBBC2300003ZQ | Entertainment Hub
GBBC300002SA | Hell's Kitchen
GBBC300003UQ | WaterBear
GBBC4000002H3 | The Jamie Oliver Channel
GBBC400000345 | Festive Hub
GBBC430000128 | POP
GBBC4300005AL | The LEGO Channel
GBBC900001SC | Trace Urban
GBBC900003B2 | Now 80s
GBBC900004G9 | The Wicked Tuna Channel
GBBC9000062G | Come Dine With Me
GBBC900007Q5 | Great! Movies
GBBC900008L9 | Great! romance
GBBC90001089 | Strongman Champions League
GBBC900013K9 | Homes Under the Hammer
GBBC900014LW | Great British Menu
GBBC900015D3 | Adventure Earth
GBBD1100001UI | World War TV
GBBD1100002L5 | FRANCE 24 FAST
GBBD1100003I0 | Love Pets
GBBD1100007AC | True Crime UK
GBBD1100008YW | FIFA+
GBBD1100009M9 | So…Real
GBBD1100013BJ | Zee One
GBBD1300001WA | Smurf TV
GBBD19000026B | Trace UK
GBBD1900008O3 | CNN Headlines
GBBD1900009UD | Vevo '70s &amp; '80s
GBBD2300001C0 | Vevo Hip Hop &amp; R&amp;B
GBBD23000021U | Transformers
GBBD2300003IK | Red Bull TV
GBBD230000420 | Rabbids Invasion
GBBD25000019N | Masterchef UK: 'Powered by Banijay'
GBBD2500002QC | Pointless UK: 'Powered by Banijay'
GBBD25000038Y | Comedy Hub
GBBD260000189 | Crime &amp; Justice
GBBD2900001VD | World Poker Tour
